StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,8/1/20,8/31/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,9/1/20,9/30/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,10/1/20,10/31/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,11/1/20,11/30/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,3/1/21,3/31/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,4/1/21,4/30/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,080192006329,1040-1615,Academy 20,Regular local school district,0801920,1040,637,Monthly,5/1/21,5/31/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,080192006788,1040-1421,Academy 20,Regular local school district,0801920,1040,750,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,8/1/20,8/31/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,9/1/20,9/30/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,10/1/20,10/31/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,11/1/20,11/30/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,3/1/21,3/31/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,4/1/21,4/30/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Elementary School,Regular school,080192006631,1040-1929,Academy 20,Regular local school district,0801920,1040,505,Monthly,5/1/21,5/31/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus High School,Regular school,080192001905,1040-2195,Academy 20,Regular local school district,0801920,1040,1160,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
